Concurso,Data,D1,D2,D3,D4,D5,D6
1,11/03/1996,04,05,30,33,41,52
2,18/03/1996,09,39,37,49,43,41
3,25/03/1996,36,30,10,11,29,47
4,01/04/1996,06,59,42,27,01,05
5,08/04/1996,01,19,46,06,16,02
6,15/04/1996,19,40,07,13,22,47
7,22/04/1996,56,38,21,20,03,05
8,29/04/1996,53,17,38,04,47,37
9,06/05/1996,55,43,56,54,08,60
10,13/05/1996,25,04,18,57,21,38
11,20/05/1996,25,15,58,37,59,38
12,27/05/1996,20,27,43,16,19,04
13,03/06/1996,47,32,50,54,18,56
14,10/06/1996,16,02,27,47,23,53
15,17/06/1996,60,12,33,52,35,51
16,24/06/1996,60,58,49,32,20,34
17,01/07/1996,10,20,06,19,51,13
18,08/07/1996,37,36,56,27,42,23
19,15/07/1996,05,25,12,10,60,24
20,22/07/1996,25,28,30,33,51,11
21,29/07/1996,49,46,06,53,33,36
22,05/08/1996,09,38,56,01,31,46
23,12/08/1996,17,52,51,59,39,37
24,19/08/1996,01,08,14,28,33,43
25,25/08/1996,56,50,55,54,24,43
