Concurso,Motor,Jogos,Total de acertos,Media de acertos por jogo,Melhor acerto,Melhor jogo,Resultado real,Jogos com 2 acertos,Taxa 2 acertos (%),Jogos com 3 acertos,Taxa 3 acertos (%),Jogos com 4 acertos,Taxa 4 acertos (%),Jogos com 5 acertos,Taxa 5 acertos (%),Jogos com 6 acertos,Taxa 6 acertos (%)
2962,Aleatorio,10,7,0.7,1,01 - 03 - 14 - 21 - 31 - 53,06 - 29 - 33 - 38 - 53 - 56,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2962,Motor Elite 7,10,9,0.9,2,04 - 17 - 31 - 38 - 46 - 56,06 - 29 - 33 - 38 - 53 - 56,2,20.0,0,0.0,0,0.0,0,0.0,0,0.0
2962,Motor Elite 8,10,5,0.5,3,08 - 29 - 38 - 40 - 41 - 53,06 - 29 - 33 - 38 - 53 - 56,0,0.0,1,10.0,0,0.0,0,0.0,0,0.0
2963,Aleatorio,10,3,0.3,2,23 - 31 - 34 - 39 - 44 - 49,06 - 20 - 34 - 44 - 53 - 57,1,10.0,0,0.0,0,0.0,0,0.0,0,0.0
2963,Motor Elite 7,10,8,0.8,2,05 - 17 - 34 - 39 - 42 - 53,06 - 20 - 34 - 44 - 53 - 57,1,10.0,0,0.0,0,0.0,0,0.0,0,0.0
2963,Motor Elite 8,10,6,0.6,1,07 - 20 - 28 - 43 - 45 - 52,06 - 20 - 34 - 44 - 53 - 57,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2964,Aleatorio,10,8,0.8,2,03 - 19 - 29 - 30 - 47 - 50,03 - 09 - 15 - 17 - 30 - 60,1,10.0,0,0.0,0,0.0,0,0.0,0,0.0
2964,Motor Elite 7,10,8,0.8,3,09 - 15 - 17 - 40 - 44 - 59,03 - 09 - 15 - 17 - 30 - 60,1,10.0,1,10.0,0,0.0,0,0.0,0,0.0
2964,Motor Elite 8,10,7,0.7,2,03 - 04 - 16 - 33 - 49 - 60,03 - 09 - 15 - 17 - 30 - 60,2,20.0,0,0.0,0,0.0,0,0.0,0,0.0
