Horario,Concurso utilizado,Motor utilizado,Score gerado
2026-06-05 09:14:45,2964,Gerador Inteligente,72.708
2026-06-05 09:14:54,2964,Gerador Inteligente,72.708
2026-06-05 09:14:59,2964,Ranking dos Melhores Jogos,75.356
2026-06-05 09:15:08,2964,Gerador Inteligente,72.708
2026-06-05 09:15:09,2964,Aposta simples,65.89
2026-06-05 09:15:28,2964,Motor Elite X,67.2054
2026-06-05 09:15:53,2964,Bolao 20 dezenas,71.939
2026-06-05 09:16:00,2964,Monte Carlo Elite X,96.7966
2026-06-05 09:28:01,2964,Gerador Inteligente,69.906
2026-06-05 09:28:09,2964,Gerador Inteligente,69.906
2026-06-05 09:28:14,2964,Ranking dos Melhores Jogos,75.579
2026-06-05 09:28:31,2964,Gerador Inteligente,69.906
2026-06-05 09:28:36,2964,Aposta simples,69.24
2026-06-05 09:30:56,2964,Gerador Inteligente,71.982
2026-06-05 09:31:09,2964,Gerador Inteligente,71.982
2026-06-05 09:31:14,2964,Ranking dos Melhores Jogos,75.978
2026-06-05 09:31:58,2964,Gerador Inteligente,71.968
2026-06-05 09:32:06,2964,Gerador Inteligente,71.968
2026-06-05 09:32:10,2964,Ranking dos Melhores Jogos,75.173
2026-06-05 09:32:21,2964,Gerador Inteligente,71.968
2026-06-05 09:32:24,2964,Aposta simples,75.01
2026-06-05 09:32:49,2964,Motor Elite X,67.5549
2026-06-05 09:33:33,2964,Bolao 20 dezenas,69.8915
2026-06-05 09:33:43,2964,Monte Carlo Elite X,96.9692
2026-06-05 09:57:06,2964,Simulacao unica 20 dezenas,51.39
2026-06-05 23:58:15,3012,Gerador Inteligente,69.442
2026-06-06 00:13:21,3013,Previsão Concurso Alvo,73.0043
2026-06-06 00:14:59,3013,Previsão Concurso Alvo,73.2557
2026-06-06 00:38:19,3013,Previsão Concurso Alvo,73.7529
2026-06-06 00:50:23,3012,Gerador Inteligente,72.428
2026-06-06 00:50:32,3013,Previsão Concurso Alvo,73.8257
