Janela,Motor,Concurso,Dezenas selecionadas,Resultado real,Acertos,Cobertura (%)
Ultimos 5,Elite 9 Expandido 20 dezenas,2960,04 - 05 - 09 - 10 - 11 - 15 - 16 - 17 - 23 - 27 - 30 - 34 - 35 - 37 - 38 - 46 - 52 - 53 - 54 - 56,03 - 13 - 15 - 16 - 46 - 47,3,50.0
Ultimos 5,Aleatorio 20 dezenas,2960,06 - 10 - 12 - 14 - 15 - 16 - 20 - 21 - 25 - 28 - 30 - 31 - 33 - 34 - 37 - 38 - 39 - 45 - 48 - 56,03 - 13 - 15 - 16 - 46 - 47,2,33.333333
Ultimos 5,Elite 9 Expandido 20 dezenas,2961,04 - 05 - 09 - 10 - 11 - 13 - 17 - 23 - 27 - 30 - 32 - 34 - 37 - 38 - 44 - 46 - 52 - 53 - 54 - 56,10 - 13 - 55 - 56 - 59 - 60,3,50.0
Ultimos 5,Aleatorio 20 dezenas,2961,04 - 07 - 08 - 11 - 20 - 21 - 24 - 25 - 29 - 37 - 39 - 40 - 44 - 46 - 49 - 50 - 54 - 55 - 57 - 58,10 - 13 - 55 - 56 - 59 - 60,1,16.666667
Ultimos 5,Elite 9 Expandido 20 dezenas,2962,04 - 05 - 09 - 10 - 11 - 13 - 17 - 23 - 24 - 27 - 30 - 34 - 37 - 38 - 40 - 44 - 52 - 53 - 54 - 56,06 - 29 - 33 - 38 - 53 - 56,3,50.0
Ultimos 5,Aleatorio 20 dezenas,2962,01 - 07 - 08 - 12 - 13 - 14 - 15 - 18 - 24 - 27 - 29 - 35 - 37 - 41 - 45 - 48 - 51 - 53 - 56 - 60,06 - 29 - 33 - 38 - 53 - 56,3,50.0
Ultimos 5,Elite 9 Expandido 20 dezenas,2963,04 - 05 - 09 - 10 - 11 - 13 - 17 - 23 - 24 - 27 - 30 - 32 - 34 - 37 - 40 - 44 - 52 - 53 - 54 - 56,06 - 20 - 34 - 44 - 53 - 57,3,50.0
Ultimos 5,Aleatorio 20 dezenas,2963,02 - 03 - 04 - 08 - 11 - 14 - 22 - 23 - 26 - 28 - 29 - 39 - 41 - 43 - 44 - 46 - 47 - 48 - 54 - 60,06 - 20 - 34 - 44 - 53 - 57,1,16.666667
Ultimos 5,Elite 9 Expandido 20 dezenas,2964,04 - 05 - 09 - 10 - 11 - 13 - 17 - 23 - 24 - 27 - 30 - 35 - 37 - 38 - 40 - 49 - 52 - 53 - 54 - 56,03 - 09 - 15 - 17 - 30 - 60,3,50.0
Ultimos 5,Aleatorio 20 dezenas,2964,02 - 05 - 07 - 09 - 13 - 16 - 17 - 26 - 27 - 28 - 31 - 37 - 38 - 43 - 44 - 45 - 47 - 52 - 54 - 59,03 - 09 - 15 - 17 - 30 - 60,2,33.333333
