Janela,Motor,Concursos analisados,Total de jogos,Total de acertos,Media de acertos,Melhor acerto,Melhor jogo,Concurso do melhor jogo,Resultado melhor concurso,Score de premiacao,Cobertura de dezenas,Cobertura de duplas,Cobertura de trincas,Cobertura de quadras,Redundancia,Jogos com 4 acertos,Taxa 4 acertos (%),Jogos com 5 acertos,Taxa 5 acertos (%),Jogos com 6 acertos,Taxa 6 acertos (%),Conclusao automatica
Ultimos 3,Aleatorio,3,300,188,0.626667,3,09 - 12 - 23 - 39 - 41 - 45,2,09 - 37 - 39 - 41 - 43 - 49,40,100.0,56.572505,5.709137,0.307129,10.061728,0,0.0,0,0.0,0,0.0,Media: Aleatorio. 4 acertos: Aleatorio. 5 acertos: Aleatorio. 6 acertos: Aleatorio. Score premiacao: Aleatorio. Elite X agrega valor ao Banco Mestre: nao.
Ultimos 3,Elite 9,3,150,77,0.513333,2,05 - 33 - 37 - 39 - 50 - 52,2,09 - 37 - 39 - 41 - 43 - 49,11,79.444445,21.65725,2.301773,0.141978,18.562358,0,0.0,0,0.0,0,0.0,Media: Aleatorio. 4 acertos: Aleatorio. 5 acertos: Aleatorio. 6 acertos: Aleatorio. Score premiacao: Aleatorio. Elite X agrega valor ao Banco Mestre: nao.
Ultimos 3,Elite X,3,300,164,0.546667,3,17 - 18 - 20 - 30 - 41 - 52,1,04 - 05 - 30 - 33 - 41 - 52,31,100.0,100.0,45.697865,5.473454,19.312009,0,0.0,0,0.0,0,0.0,Media: Aleatorio. 4 acertos: Aleatorio. 5 acertos: Aleatorio. 6 acertos: Aleatorio. Score premiacao: Aleatorio. Elite X agrega valor ao Banco Mestre: nao.
Ultimos 3,Aleatorio,3,300,188,0.626667,3,09 - 12 - 23 - 39 - 41 - 45,2,09 - 37 - 39 - 41 - 43 - 49,40,100.0,56.572505,5.709137,0.307129,10.061728,0,0.0,0,0.0,0,0.0,Media: Aleatorio. 4 acertos: Aleatorio. 5 acertos: Aleatorio. 6 acertos: Aleatorio. Score premiacao: Aleatorio. Elite X agrega valor ao Banco Mestre: nao.
Ultimos 3,Elite 9,3,150,77,0.513333,2,05 - 33 - 37 - 39 - 50 - 52,2,09 - 37 - 39 - 41 - 43 - 49,11,79.444445,21.65725,2.301773,0.141978,18.562358,0,0.0,0,0.0,0,0.0,Media: Aleatorio. 4 acertos: Aleatorio. 5 acertos: Aleatorio. 6 acertos: Aleatorio. Score premiacao: Aleatorio. Elite X agrega valor ao Banco Mestre: nao.
Ultimos 3,Elite X,3,300,164,0.546667,3,17 - 18 - 20 - 30 - 41 - 52,1,04 - 05 - 30 - 33 - 41 - 52,31,100.0,100.0,45.697865,5.473454,19.312009,0,0.0,0,0.0,0,0.0,Media: Aleatorio. 4 acertos: Aleatorio. 5 acertos: Aleatorio. 6 acertos: Aleatorio. Score premiacao: Aleatorio. Elite X agrega valor ao Banco Mestre: nao.
Toda a base,Aleatorio,3,300,188,0.626667,3,09 - 12 - 23 - 39 - 41 - 45,2,09 - 37 - 39 - 41 - 43 - 49,40,100.0,56.572505,5.709137,0.307129,10.061728,0,0.0,0,0.0,0,0.0,Media: Aleatorio. 4 acertos: Aleatorio. 5 acertos: Aleatorio. 6 acertos: Aleatorio. Score premiacao: Aleatorio. Elite X agrega valor ao Banco Mestre: nao.
Toda a base,Elite 9,3,150,77,0.513333,2,05 - 33 - 37 - 39 - 50 - 52,2,09 - 37 - 39 - 41 - 43 - 49,11,79.444445,21.65725,2.301773,0.141978,18.562358,0,0.0,0,0.0,0,0.0,Media: Aleatorio. 4 acertos: Aleatorio. 5 acertos: Aleatorio. 6 acertos: Aleatorio. Score premiacao: Aleatorio. Elite X agrega valor ao Banco Mestre: nao.
Toda a base,Elite X,3,300,164,0.546667,3,17 - 18 - 20 - 30 - 41 - 52,1,04 - 05 - 30 - 33 - 41 - 52,31,100.0,100.0,45.697865,5.473454,19.312009,0,0.0,0,0.0,0,0.0,Media: Aleatorio. 4 acertos: Aleatorio. 5 acertos: Aleatorio. 6 acertos: Aleatorio. Score premiacao: Aleatorio. Elite X agrega valor ao Banco Mestre: nao.
